ID,Name,sortId,weight,correctStrength,correctAgility,correctMagic,correctFaith,physGuardCutRate,magGuardCutRate,fireGuardCutRate,thunGuardCutRate,spEffectBehaviorId0,spEffectBehaviorId1,spEffectBehaviorId2,residentSpEffectId,residentSpEffectId1,residentSpEffectId2,originEquipWep,originEquipWep1,originEquipWep11,weakA_DamageRate,weakB_DamageRate,weakC_DamageRate,weakD_DamageRate,saWeaponDamage,attackBasePhysics,attackBaseMagic,attackBaseFire,attackBaseThunder,attackBaseStamina,staminaGuardDef,reinforceTypeId,throwAtkRate,correctType_Physics,properStrength,properAgility,properMagic,properFaith,guardCutCancelRate,poisonGuardResist,diseaseGuardResist,bloodGuardResist,curseGuardResist,atkAttribute,enableMagic,enableMiracle,isEnhance,disableGemAttr,isDualBlade,correctType_Magic,correctType_Fire,correctType_Thunder,darkGuardCutRate,attackBaseDark,correctType_Dark,correctType_Poison,atkAttribute2,sleepGuardResist,madnessGuardResist,correctType_Blood,properLuck,freezeGuardResist,swordArtsParamId,correctLuck,staminaConsumptionRate,attackElementCorrectId,correctType_Sleep,correctType_Madness,gemMountType,restrictSpecialSwordArt,materialSetId
1000,,9999999,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,-1
1100,,9999999,1,30,60,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,-1
1200,,9999999,1,20,50,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,100,100,100,100,100,0,0,0,3,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,1,1010,10,10,0,FALSE,-1
1210,,9999999,1,20,50,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,100,100,100,100,100,0,0,0,3,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,1,1011,10,10,0,FALSE,-1
1220,,9999999,1,20,50,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,100,100,100,100,100,0,0,0,3,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,1,1012,10,10,0,FALSE,-1
1230,,9999999,1,20,50,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,100,100,100,100,100,0,0,0,3,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,1,1013,10,10,0,FALSE,-1
1240,,9999999,1,20,50,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,100,100,100,100,100,0,0,0,3,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,1,1014,10,10,0,FALSE,-1
1250,,9999999,1,20,50,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,100,100,100,100,100,0,0,0,3,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,1,1015,10,10,0,FALSE,-1
1260,,9999999,1,20,50,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,100,100,100,100,100,0,0,0,3,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,1,1016,10,10,0,FALSE,-1
1400,,9999999,1,25,15,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,3,0,0,0,0,10,0,0,0,10,0,0,0,0,1,1000,10,10,0,FALSE,-1
1410,,9999999,1,25,15,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,3,0,0,0,0,10,0,0,0,10,0,0,0,0,1,1040,10,10,0,FALSE,-1
1420,,9999999,1,25,15,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,3,0,0,0,0,10,0,0,0,10,0,0,0,0,1,1041,10,10,0,FALSE,-1
1430,,9999999,1,25,15,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,3,0,0,0,0,10,0,0,0,10,0,0,0,0,1,1042,10,10,0,FALSE,-1
1500,,9999999,1,0,0,0,25,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,4,0,0,0,10,0,0,0,10,0,0,0,0,1,1001,10,10,0,FALSE,-1
1600,,9999999,1,0,0,0,255,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,1,1,0,100,100,100,100,100,0,0,0,3,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,1,1002,10,10,0,FALSE,-1
1700,,9999999,1,25,15,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,100,100,100,100,100,0,0,0,3,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,1,1000,10,10,0,FALSE,-1
1800,,9999999,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,100,100,100,100,100,0,0,0,3,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,10,0,0,0,10,0,0,0,25,1,1010,10,10,0,FALSE,-1
1900,,9999999,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,100,100,100,100,100,0,0,0,3,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,10,0,0,0,10,0,0,0,25,1,1010,10,10,0,FALSE,-1
2000,,9999999,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,100,100,100,100,100,0,0,0,3,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,10,0,0,0,10,0,0,0,25,1,1010,10,10,0,FALSE,-1
2100,,9999999,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,100,100,100,100,100,0,0,0,3,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,10,0,0,0,10,0,0,0,25,1,1010,10,10,0,FALSE,-1
2200,,9999999,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1010,0,0,0,FALSE,-1
11000,,9999999,8,30,50,0,0,40,25,20,20,-1,-1,-1,-1,-1,-1,18000000,18000000,-1,1,1,1,1,19,90,0,0,0,61,100,0,0,0,16,12,0,0,0,20,20,20,20,0,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,25,0,0,7,0,20,20,7,0,20,0,23,1,10000,7,7,0,FALSE,0
12000,,9999999,4.5,30,51,0,0,40,25,20,30,-1,-1,-1,-1,-1,-1,16000000,16000000,-1,1,1,1,1,14,80,0,0,0,40,100,0,0,0,10,10,0,0,0,10,10,10,10,0,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,25,0,0,7,0,10,10,7,0,10,0,24,1,10000,7,7,0,FALSE,0
13000,,9999999,3,50,35,0,0,45,30,25,25,-1,-1,-1,-1,-1,-1,2000000,2000000,-1,1,1,1,1,14,1,0,0,0,45,100,0,0,0,10,10,0,0,0,15,15,15,15,0,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,30,0,0,7,0,15,15,7,0,15,110,25,1,10000,7,7,0,FALSE,0
100000,,9999999,3,50,35,0,0,65,30,25,25,-1,-1,-1,-1,-1,-1,100000,100000,-1,1,1,1,1,5,80,0,0,0,45,35,0,0,0,10,10,0,0,0,15,15,15,15,0,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,30,0,0,7,0,15,15,7,0,15,210,0,1,10000,7,7,1,FALSE,0
100100,,9999999,3,42,42,0,0,65,30,25,25,-1,-1,-1,-1,-1,-1,100000,100000,-1,1,1,1,1,5,80,0,0,0,45,35,100,0,0,10,10,0,0,0,15,15,15,15,0,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,30,0,0,7,0,15,15,7,0,15,210,0,1,10000,7,7,1,FALSE,0
100200,,9999999,3,42,42,0,0,65,30,25,25,-1,-1,-1,-1,-1,-1,100000,100000,-1,1,1,1,1,5,80,0,0,0,45,35,200,0,0,10,10,0,0,0,15,15,15,15,0,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,30,0,0,7,0,15,15,7,0,15,210,0,1,10000,7,7,1,FALSE,0
100300,,9999999,3,42,42,0,0,65,30,25,25,-1,-1,-1,-1,-1,-1,100000,100000,-1,1,1,1,1,5,80,0,0,0,45,35,300,0,0,10,10,0,0,0,15,15,15,15,0,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,30,0,0,7,0,15,15,7,0,15,210,0,1,10000,7,7,1,FALSE,0
100400,,9999999,3,50,35,0,85,63,46,23,12,-1,-1,-1,-1,-1,-1,100000,100000,-1,1,1,1,1,5,80,0,0,0,45,35,400,0,0,10,10,0,0,0,15,15,15,15,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,28,80,4,7,0,15,15,7,0,15,200,0,1,10004,7,7,1,FALSE,0
100500,,9999999,3,50,35,85,0,63,46,23,12,-1,-1,-1,-1,-1,-1,100000,100000,-1,1,1,1,1,5,80,80,0,0,45,35,500,0,0,10,10,0,0,0,15,15,15,15,0,FALSE,FALSE,FALSE,FALSE,FALSE,7,0,0,28,0,0,7,0,15,15,7,0,15,200,0,1,10000,7,7,1,FALSE,0
100600,,9999999,3,50,35,0,0,65,30,25,25,-1,-1,-1,-1,-1,-1,100000,100000,-1,1,1,1,1,5,80,80,0,0,45,35,600,0,0,10,10,0,0,0,15,15,15,15,0,FALSE,FALSE,TRUE,FALSE,FALSE,7,0,0,30,0,0,7,0,15,15,7,0,15,210,85,1,10006,7,7,1,FALSE,0
100700,,9999999,3,50,35,0,0,65,30,25,25,-1,-1,-1,-1,-1,-1,100000,100000,-1,1,1,1,1,5,80,0,80,0,45,35,700,0,0,10,10,0,0,0,15,15,15,15,0,FALSE,FALSE,TRUE,FALSE,FALSE,0,4,0,30,0,0,7,0,15,15,7,0,15,210,0,1,10007,7,7,1,FALSE,0
100800,,9999999,3,50,35,0,85,65,30,25,25,-1,-1,-1,-1,-1,-1,100000,100000,-1,1,1,1,1,5,80,0,80,0,45,35,800,0,0,10,10,0,0,0,15,15,15,15,0,FALSE,FALSE,TRUE,FALSE,FALSE,0,4,0,30,0,0,7,0,15,15,7,0,15,210,0,1,10000,7,7,1,FALSE,0
100900,,9999999,3,50,35,0,85,65,30,25,25,-1,-1,-1,-1,-1,-1,100000,100000,-1,1,1,1,1,5,80,0,0,80,45,35,900,0,0,10,10,0,0,0,15,15,15,15,0,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,4,30,0,0,7,0,15,15,7,0,15,210,0,1,10000,7,7,1,FALSE,0
101000,,9999999,3,42,42,0,0,65,30,25,25,-1,-1,-1,-1,-1,-1,100000,100000,-1,1,1,1,1,5,80,0,0,0,45,35,1000,0,0,10,10,0,0,0,15,15,15,15,0,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,30,0,0,7,0,15,15,7,0,15,210,85,1,10010,7,7,1,FALSE,0
