1	50	FP	Focus
2	53	+3	0
3	56	+3	0
4	59	+3	0
5	62	+3	0
6	66	+4	0
7	69	+3	0
8	72	+3	0
9	75	+3	0
10	78	+3	0
11	82	+4	0
12	85	+3	0
13	88	+3	0
14	91	+3	+1
15	95	+4	0
16	100	+5	0
17	105	+5	0
18	110	+5	0
19	116	+6	0
20	121	+5	0
21	126	+5	0
22	131	+5	0
23	137	+6	0
24	142	+5	0
25	147	+5	0
26	152	+5	0
27	158	+6	0
28	163	+5	0
29	168	+5	0
30	173	+5	0
31	179	+6	+3
32	184	+5	+3
33	189	+5	+3
34	194	+5	+3
35	200	+6	+3
36	207	+7	+3
37	214	+7	+3
38	221	+7	+3
39	228	+7	+3
40	235	+7	+3
41	242	+7	+1
42	248	+6	0
43	255	+7	+1
44	262	+7	0
45	268	+6	0
46	275	+7	+1
47	281	+6	+1
48	287	+6	0
49	293	+6	+1
50	300	+7	+1
51	305	+5	+1
52	311	+6	0
53	317	+6	+1
54	322	+5	+1
55	328	+6	0
56	333	+5	+1
57	338	+5	+1
58	342	+4	0
59	346	+4	+1
60	350	+4	+1
61	352	+2	0
62	355	+3	+1
63	357	+2	0
64	360	+3	+1
65	362	+2	0
66	365	+3	+1
67	367	+2	0
68	370	+3	+1
69	373	+3	0
70	375	+2	0
71	378	+3	+1
72	380	+2	0
73	383	+3	+1
74	385	+2	+1
75	388	+3	+1
76	391	+3	+2
77	393	+2	+1
78	396	+3	+1
79	398	+2	+1
80	401	+3	+2
81	403	+2	+1
82	406	+3	+1
83	408	+2	+1
84	411	+3	+2
85	414	+3	+1
86	416	+2	+1
87	419	+3	+1
88	421	+2	+2
89	424	+3	+1
90	426	+2	+1
91	429	+3	+1
92	432	+3	+2
93	434	+2	+1
94	437	+3	+1
95	439	+2	+1
96	442	+3	+2
97	444	+2	+1
98	447	+3	+1
99	450	+3	+2
